Entity,Code,Year,Population density of the capital city,Population density of the capital city (projected) (Projected),Population density of the capital city (Annotations),Population density of the capital city (projected) (Annotations)
Afghanistan,AFG,1975,3853.8767,,Kabul,
Afghanistan,AFG,1980,5159.212,,Kabul,
Afghanistan,AFG,1985,6376.251,,Kabul,
Afghanistan,AFG,1990,8000.057,,Kabul,
Afghanistan,AFG,1995,8951.315,,Kabul,
Afghanistan,AFG,2000,10482.262,,Kabul,
Afghanistan,AFG,2005,11349.307,,Kabul,
Afghanistan,AFG,2010,12514.011,,Kabul,
Afghanistan,AFG,2015,13640.678,,Kabul,
Afghanistan,AFG,2020,15289.416,15289.416,Kabul,Kabul
Afghanistan,AFG,2025,,14600.354,,Kabul
Afghanistan,AFG,2030,,14412.21,,Kabul
Afghanistan,AFG,2035,,14763.037,,Kabul
Afghanistan,AFG,2040,,15390.102,,Kabul
Afghanistan,AFG,2045,,15790.665,,Kabul
Afghanistan,AFG,2050,,16233.27,,Kabul
Afghanistan,AFG,2055,,16202.486,,Kabul
Afghanistan,AFG,2060,,16400.225,,Kabul
Afghanistan,AFG,2065,,16254.559,,Kabul
Afghanistan,AFG,2070,,16265.761,,Kabul
Afghanistan,AFG,2075,,16623.662,,Kabul
Afghanistan,AFG,2080,,16674.145,,Kabul
Afghanistan,AFG,2085,,16748.01,,Kabul
Afghanistan,AFG,2090,,16843.223,,Kabul
Afghanistan,AFG,2095,,16966.633,,Kabul
Afghanistan,AFG,2100,,17105.475,,Kabul
Albania,ALB,1975,6980.357,,Tirana,
Albania,ALB,1980,6074.9165,,Tirana,
Albania,ALB,1985,6694.478,,Tirana,
Albania,ALB,1990,7418.5225,,Tirana,
Albania,ALB,1995,5863.493,,Tirana,
Albania,ALB,2000,6532.32,,Tirana,
Albania,ALB,2005,6861.3984,,Tirana,
Albania,ALB,2010,7297.6655,,Tirana,
Albania,ALB,2015,8033.5405,,Tirana,
Albania,ALB,2020,8063.6064,8063.6064,Tirana,Tirana
Albania,ALB,2025,,7933.5225,,Tirana
Albania,ALB,2030,,7805.796,,Tirana
Albania,ALB,2035,,7740.844,,Tirana
Albania,ALB,2040,,7592.9575,,Tirana
Albania,ALB,2045,,7432.58,,Tirana
Albania,ALB,2050,,7270.529,,Tirana
Albania,ALB,2055,,7318.9614,,Tirana
Albania,ALB,2060,,7187.1665,,Tirana
Albania,ALB,2065,,7151.5664,,Tirana
Albania,ALB,2070,,6998.4033,,Tirana
Albania,ALB,2075,,6756.0347,,Tirana
Albania,ALB,2080,,6507.1265,,Tirana
Albania,ALB,2085,,6268.417,,Tirana
Albania,ALB,2090,,6213.0103,,Tirana
Albania,ALB,2095,,6139.208,,Tirana
Albania,ALB,2100,,6000.869,,Tirana
Algeria,DZA,1975,6390.412,,Algiers,
Algeria,DZA,1980,6648.03,,Algiers,
Algeria,DZA,1985,6712.687,,Algiers,
Algeria,DZA,1990,7091.298,,Algiers,
Algeria,DZA,1995,6880.5664,,Algiers,
Algeria,DZA,2000,6634.7573,,Algiers,
Algeria,DZA,2005,6183.555,,Algiers,
Algeria,DZA,2010,6080.136,,Algiers,
Algeria,DZA,2015,6399.934,,Algiers,
Algeria,DZA,2020,6752.611,6752.611,Algiers,Algiers
Algeria,DZA,2025,,6892.57,,Algiers
Algeria,DZA,2030,,6678.9277,,Algiers
Algeria,DZA,2035,,6757.2207,,Algiers
Algeria,DZA,2040,,6886.1465,,Algiers
Algeria,DZA,2045,,6985.224,,Algiers
Algeria,DZA,2050,,6934.2007,,Algiers
Algeria,DZA,2055,,7018.808,,Algiers
Algeria,DZA,2060,,7036.86,,Algiers
Algeria,DZA,2065,,7038.1123,,Algiers
Algeria,DZA,2070,,7013.585,,Algiers
Algeria,DZA,2075,,6997.017,,Algiers
Algeria,DZA,2080,,6972.332,,Algiers
Algeria,DZA,2085,,6946.172,,Algiers
Algeria,DZA,2090,,6902.572,,Algiers
Algeria,DZA,2095,,6849.653,,Algiers
Algeria,DZA,2100,,6765.094,,Algiers
Angola,AGO,1995,1792.1112,,Luanda,
Angola,AGO,2000,2472.8118,,Luanda,
Angola,AGO,2005,3154.721,,Luanda,
Angola,AGO,2010,5337.7026,,Luanda,
Angola,AGO,2015,7988.0146,,Luanda,
Angola,AGO,2020,10477.488,10477.488,Luanda,Luanda
Angola,AGO,2025,,10943.337,,Luanda
Angola,AGO,2030,,11973.551,,Luanda
Angola,AGO,2035,,12336.082,,Luanda
Angola,AGO,2040,,12918.756,,Luanda
Angola,AGO,2045,,13680.743,,Luanda
Angola,AGO,2050,,14764.278,,Luanda
Angola,AGO,2055,,15337.795,,Luanda
Angola,AGO,2060,,16210.807,,Luanda
Angola,AGO,2065,,16906.719,,Luanda
Angola,AGO,2070,,17551.018,,Luanda
Angola,AGO,2075,,17865.43,,Luanda
Angola,AGO,2080,,17804.455,,Luanda
Angola,AGO,2085,,17709.629,,Luanda
Angola,AGO,2090,,17500.857,,Luanda
Angola,AGO,2095,,17404.434,,Luanda
Angola,AGO,2100,,16980.7,,Luanda
Argentina,ARG,1975,5360.614,,Buenos Aires,
Argentina,ARG,1980,5642.912,,Buenos Aires,
Argentina,ARG,1985,5884.1665,,Buenos Aires,
Argentina,ARG,1990,6066.4336,,Buenos Aires,
