word,claude-sonnet-4-6,deepseek-chat,gemini-2.5-flash,gpt-4o,grok-3,llama3.2:3b,qwen2.5:14b
oops,0,200,58,0,0,0,0
empathy,0,0,20,193,0,1,0
understanding,0,0,0,0,0,0,200
hey,0,0,0,0,199,0,0
tired,177,0,0,0,0,0,0
emotions,0,0,0,0,0,67,0
laughter,0,0,0,0,0,32,0
smile,0,0,0,0,0,31,0
ouch,0,0,19,0,0,0,0
ugh,16,0,0,0,0,0,0
laughed,0,0,0,0,0,14,0
happiness,0,0,0,0,0,13,0
hope,0,0,11,0,0,0,0
flawed,0,0,8,0,0,0,0
honestly,7,0,0,0,0,0,0
feel,0,0,7,0,0,0,0
ache,0,0,7,0,0,0,0
impossible,0,0,7,0,0,0,0
sorrow,0,0,1,0,0,6,0
curiosity,0,0,1,5,0,0,0
