word,claude-sonnet-4-6,deepseek-chat,gemini-2.5-flash,gpt-4o,grok-3,llama3.2:3b,qwen2.5:14b
oops,0.0,100.0,29.441624365482234,0.0,0.0,0.0,0.0
empathy,0.0,0.0,10.152284263959391,96.5,0.0,0.5,0.0
understanding,0.0,0.0,0.0,0.0,0.0,0.0,100.0
hey,0.0,0.0,0.0,0.0,99.5,0.0,0.0
tired,88.5,0.0,0.0,0.0,0.0,0.0,0.0
emotions,0.0,0.0,0.0,0.0,0.0,33.5,0.0
laughter,0.0,0.0,0.0,0.0,0.0,16.0,0.0
smile,0.0,0.0,0.0,0.0,0.0,15.5,0.0
ouch,0.0,0.0,9.644670050761421,0.0,0.0,0.0,0.0
ugh,8.0,0.0,0.0,0.0,0.0,0.0,0.0
laughed,0.0,0.0,0.0,0.0,0.0,7.000000000000001,0.0
happiness,0.0,0.0,0.0,0.0,0.0,6.5,0.0
hope,0.0,0.0,5.583756345177665,0.0,0.0,0.0,0.0
