x,y,word,model
2.7464712,5.4445004,tired,claude-sonnet-4-6
2.2453527,6.0913067,honestly,claude-sonnet-4-6
2.235461,2.458665,ugh,claude-sonnet-4-6
2.0761423,3.350769,oops,deepseek-chat
5.6935015,6.677424,empathy,gpt-4o
2.5548103,2.9815543,ouch,gemini-2.5-flash
1.2410272,7.1010323,feel,gemini-2.5-flash
2.7068045,4.6460834,flawed,gemini-2.5-flash
1.1602399,6.8801336,felt,gemini-2.5-flash
3.3162766,7.357434,breathe,gemini-2.5-flash
6.040465,4.9652944,ache,gemini-2.5-flash
4.4906654,7.3420033,flesh,gemini-2.5-flash
3.9820492,7.6153135,touch,gemini-2.5-flash
3.4963264,6.813501,fumble,gemini-2.5-flash
1.9889753,6.860953,hope,gemini-2.5-flash
5.820702,5.1669526,pain,gemini-2.5-flash
1.5926055,5.593578,no,gemini-2.5-flash
2.0702634,5.1745596,alas,gemini-2.5-flash
4.2782245,4.498332,vulnerability,gemini-2.5-flash
2.4367304,6.7383385,imagine,gemini-2.5-flash
1.6306617,6.1998525,exist,gemini-2.5-flash
2.7542238,6.873479,ponder,gemini-2.5-flash
3.7676408,4.5270877,existential,gemini-2.5-flash
4.7171426,6.906506,dream,gemini-2.5-flash
3.922794,4.6917176,sonder,gemini-2.5-flash
2.0811694,5.649069,impossible,gemini-2.5-flash
1.8862625,2.8574421,nope,gemini-2.5-flash
5.937307,5.335769,sorrow,llama3.2:3b
3.3239603,3.1838825,ai,gemini-2.5-flash
2.463461,4.853242,inconsistent,gemini-2.5-flash
2.6278555,6.600766,fathom,gemini-2.5-flash
3.42845,5.853773,struggle,gemini-2.5-flash
3.0036786,4.5853376,incomplete,gemini-2.5-flash
4.5417,6.1609054,curiosity,gpt-4o
1.7066674,6.6104274,believe,gemini-2.5-flash
1.6765754,2.6680825,hmm,gemini-2.5-flash
1.4542936,3.9637702,hello,gemini-2.5-flash
5.8202558,5.7175035,grief,gemini-2.5-flash
2.9903839,5.19731,miserable,gemini-2.5-flash
4.0149693,6.5694995,love,gemini-2.5-flash
1.9388245,4.17439,sorry,gemini-2.5-flash
3.9364302,5.100161,human,gemini-2.5-flash
6.349574,7.1192546,humor,gemini-2.5-flash
1.4508988,5.686516,unlikely,gemini-2.5-flash
4.3661084,3.7522643,banana,gpt-4o
3.5419576,7.1749153,embrace,gpt-4o
1.3619372,3.3849602,hey,grok-3
2.5632036,5.877366,please,grok-3
5.276006,6.4442277,emotions,llama3.2:3b
6.708034,8.216999,smile,llama3.2:3b
6.3627515,7.87942,laughter,llama3.2:3b
6.980843,7.627836,cry,llama3.2:3b
4.587732,3.692628,coffee,llama3.2:3b
6.6999106,8.470307,laughed,llama3.2:3b
6.0818863,7.4321346,sarcasm,llama3.2:3b
6.9395337,7.9953637,laugh,llama3.2:3b
3.9927316,5.938246,happiness,llama3.2:3b
4.263588,5.7707443,hobbies,llama3.2:3b
4.982897,6.910334,dreams,llama3.2:3b
1.9163449,2.5029485,lol,llama3.2:3b
4.7676396,3.9263656,caffeine,llama3.2:3b
4.744908,5.0431123,suffering,llama3.2:3b
3.6711257,5.6236,sleep,llama3.2:3b
5.7608614,6.3539186,emotion,llama3.2:3b
3.8597336,3.994501,fingerprints,llama3.2:3b
5.1545057,5.395408,regret,llama3.2:3b
4.612463,6.55292,imagination,llama3.2:3b
2.7637265,2.6990368,i,llama3.2:3b
3.3425312,3.98421,imperfections,llama3.2:3b
3.6792507,3.6204097,i'd,llama3.2:3b
3.4707515,5.317495,understanding,qwen2.5:14b
