x,y,word,model
8.255742,9.606807,tired,claude-sonnet-4-6
7.938726,8.122336,honestly,claude-sonnet-4-6
10.903904,3.4475565,ugh,claude-sonnet-4-6
11.060832,3.1479664,oops,deepseek-chat
10.366366,10.466559,empathy,gpt-4o
10.685616,3.168061,ouch,gemini-2.5-flash
7.917601,9.323036,feel,gemini-2.5-flash
7.4961586,5.0777335,flawed,gemini-2.5-flash
7.913542,10.125765,felt,gemini-2.5-flash
8.862561,8.259867,breathe,gemini-2.5-flash
9.57821,5.949313,ache,gemini-2.5-flash
9.6117325,6.6506815,flesh,gemini-2.5-flash
9.738737,7.307245,touch,gemini-2.5-flash
8.431306,5.5006204,fumble,gemini-2.5-flash
7.0239196,9.107607,hope,gemini-2.5-flash
8.319275,10.614936,pain,gemini-2.5-flash
6.253358,9.500835,no,gemini-2.5-flash
10.207783,4.8189454,alas,gemini-2.5-flash
10.554004,5.9588137,vulnerability,gemini-2.5-flash
8.206174,8.470567,imagine,gemini-2.5-flash
6.2208123,8.491861,exist,gemini-2.5-flash
9.266207,5.2018447,ponder,gemini-2.5-flash
9.157469,5.272951,existential,gemini-2.5-flash
9.115975,9.219677,dream,gemini-2.5-flash
9.734797,4.678214,sonder,gemini-2.5-flash
6.1160026,8.616605,impossible,gemini-2.5-flash
11.347467,2.9541223,nope,gemini-2.5-flash
9.801429,10.526858,sorrow,llama3.2:3b
8.983188,6.6848326,ai,gemini-2.5-flash
7.592007,4.95774,inconsistent,gemini-2.5-flash
8.1622505,7.2771525,fathom,gemini-2.5-flash
6.751871,8.988551,struggle,gemini-2.5-flash
7.8860397,5.230572,incomplete,gemini-2.5-flash
10.8408785,10.721463,curiosity,gpt-4o
6.5898485,9.469104,believe,gemini-2.5-flash
11.253805,3.0397065,hmm,gemini-2.5-flash
8.699932,7.3286524,hello,gemini-2.5-flash
9.566575,11.023665,grief,gemini-2.5-flash
8.572114,9.881853,miserable,gemini-2.5-flash
9.425508,8.9374,love,gemini-2.5-flash
8.328733,9.029969,sorry,gemini-2.5-flash
6.6491957,9.817853,human,gemini-2.5-flash
10.99292,10.048536,humor,gemini-2.5-flash
6.193037,8.960029,unlikely,gemini-2.5-flash
10.12471,6.590245,banana,gpt-4o
7.2495456,8.667084,embrace,gpt-4o
8.787145,7.3359632,hey,grok-3
8.225808,7.9858775,please,grok-3
10.396481,11.314337,emotions,llama3.2:3b
9.679229,7.7948613,smile,llama3.2:3b
10.512129,8.447028,laughter,llama3.2:3b
9.160642,7.809862,cry,llama3.2:3b
10.238959,6.8068633,coffee,llama3.2:3b
10.002793,8.417473,laughed,llama3.2:3b
10.94282,9.8293295,sarcasm,llama3.2:3b
9.991027,8.126967,laugh,llama3.2:3b
10.061441,9.952142,happiness,llama3.2:3b
9.210586,5.7478156,hobbies,llama3.2:3b
9.669276,9.437529,dreams,llama3.2:3b
9.989128,4.1130958,lol,llama3.2:3b
10.595416,7.0666475,caffeine,llama3.2:3b
8.550983,10.604851,suffering,llama3.2:3b
8.665791,8.425178,sleep,llama3.2:3b
10.231997,11.042466,emotion,llama3.2:3b
10.022735,5.7742066,fingerprints,llama3.2:3b
9.371324,10.334116,regret,llama3.2:3b
10.611891,11.105023,imagination,llama3.2:3b
7.516072,9.611166,i,llama3.2:3b
9.932588,5.63527,imperfections,llama3.2:3b
9.049197,5.9693074,i'd,llama3.2:3b
7.1041207,9.549646,understanding,qwen2.5:14b
